Hour_ending_local_time,Day,kW_avg_per_EV
1,Monday,0.36
2,Monday,0.32
3,Monday,0.26
4,Monday,0.16
5,Monday,0.11
6,Monday,0.07
7,Monday,0.07
8,Monday,0.16
9,Monday,0.21
10,Monday,0.17
11,Monday,0.14
12,Monday,0.14
13,Monday,0.14
14,Monday,0.14
15,Monday,0.16
16,Monday,0.26
17,Monday,0.42
18,Monday,0.53
19,Monday,0.63
20,Monday,0.63
21,Monday,0.58
22,Monday,0.56
23,Monday,0.53
24,Monday,0.47
1,Tuesday,0.42
2,Tuesday,0.32
3,Tuesday,0.26
4,Tuesday,0.16
5,Tuesday,0.11
6,Tuesday,0.07
7,Tuesday,0.07
8,Tuesday,0.16
9,Tuesday,0.21
10,Tuesday,0.17
11,Tuesday,0.14
12,Tuesday,0.14
13,Tuesday,0.14
14,Tuesday,0.14
15,Tuesday,0.16
16,Tuesday,0.26
17,Tuesday,0.42
18,Tuesday,0.53
19,Tuesday,0.63
20,Tuesday,0.63
21,Tuesday,0.58
22,Tuesday,0.56
23,Tuesday,0.53
24,Tuesday,0.47
1,Wednesday,0.42
2,Wednesday,0.32
3,Wednesday,0.26
4,Wednesday,0.16
5,Wednesday,0.11
6,Wednesday,0.07
7,Wednesday,0.07
8,Wednesday,0.16
9,Wednesday,0.21
10,Wednesday,0.17
11,Wednesday,0.14
12,Wednesday,0.14
13,Wednesday,0.14
14,Wednesday,0.14
15,Wednesday,0.16
16,Wednesday,0.26
17,Wednesday,0.42
18,Wednesday,0.53
19,Wednesday,0.63
20,Wednesday,0.63
21,Wednesday,0.58
22,Wednesday,0.56
23,Wednesday,0.53
24,Wednesday,0.47
1,Thursday,0.42
2,Thursday,0.32
3,Thursday,0.26
4,Thursday,0.16
5,Thursday,0.11
6,Thursday,0.07
7,Thursday,0.07
8,Thursday,0.16
9,Thursday,0.21
10,Thursday,0.17
11,Thursday,0.14
12,Thursday,0.14
13,Thursday,0.14
14,Thursday,0.14
15,Thursday,0.16
16,Thursday,0.26
17,Thursday,0.42
18,Thursday,0.53
19,Thursday,0.63
20,Thursday,0.63
21,Thursday,0.58
22,Thursday,0.56
23,Thursday,0.53
24,Thursday,0.47
1,Friday,0.42
2,Friday,0.32
3,Friday,0.26
4,Friday,0.16
5,Friday,0.11
6,Friday,0.07
7,Friday,0.07
8,Friday,0.16
9,Friday,0.21
10,Friday,0.17
11,Friday,0.14
12,Friday,0.14
13,Friday,0.14
14,Friday,0.14
15,Friday,0.16
16,Friday,0.26
17,Friday,0.42
18,Friday,0.53
19,Friday,0.63
20,Friday,0.63
21,Friday,0.58
22,Friday,0.56
23,Friday,0.53
24,Friday,0.47
1,Saturday,0.36
2,Saturday,0.31
3,Saturday,0.24
4,Saturday,0.16
5,Saturday,0.11
6,Saturday,0.07
7,Saturday,0.07
8,Saturday,0.06
9,Saturday,0.06
10,Saturday,0.07
11,Saturday,0.1
12,Saturday,0.14
13,Saturday,0.16
14,Saturday,0.2
15,Saturday,0.2
16,Saturday,0.2
17,Saturday,0.2
18,Saturday,0.2
19,Saturday,0.22
20,Saturday,0.22
21,Saturday,0.23
22,Saturday,0.23
23,Saturday,0.25
24,Saturday,0.3
1,Sunday,0.36
2,Sunday,0.31
3,Sunday,0.24
4,Sunday,0.16
5,Sunday,0.11
6,Sunday,0.07
7,Sunday,0.07
8,Sunday,0.06
9,Sunday,0.06
10,Sunday,0.07
11,Sunday,0.1
12,Sunday,0.14
13,Sunday,0.16
14,Sunday,0.2
15,Sunday,0.2
16,Sunday,0.2
17,Sunday,0.2
18,Sunday,0.2
19,Sunday,0.22
20,Sunday,0.22
21,Sunday,0.23
22,Sunday,0.23
23,Sunday,0.25
24,Sunday,0.3
